Best Accuracy -> 99.55% on Stump 200


Accuracy for Test Set -> 99.81%
Accuracy till 151 Stumps -> 99.5%
Accuracy till 152 Stumps -> 99.45%
Accuracy till 153 Stumps -> 99.5%
Accuracy till 154 Stumps -> 99.45%
Accuracy till 155 Stumps -> 99.45%
Accuracy till 156 Stumps -> 99.45%
Accuracy till 157 Stumps -> 99.45%
Accuracy till 158 Stumps -> 99.45%
Accuracy till 159 Stumps -> 99.45%
Accuracy till 160 Stumps -> 99.45%
Accuracy till 161 Stumps -> 99.45%
Accuracy till 162 Stumps -> 99.5%
Accuracy till 163 Stumps -> 99.55%
Accuracy till 164 Stumps -> 99.45%
Accuracy till 165 Stumps -> 99.5%
Accuracy till 166 Stumps -> 99.5%
Accuracy till 167 Stumps -> 99.5%
Accuracy till 168 Stumps -> 99.5%
Accuracy till 169 Stumps -> 99.5%
Accuracy till 170 Stumps -> 99.5%
Accuracy till 171 Stumps -> 99.5%
Accuracy till 172 Stumps -> 99.5%
Accuracy till 173 Stumps -> 99.5%
Accuracy till 174 Stumps -> 99.5%
Accuracy till 175 Stumps -> 99.5%
Accuracy till 176 Stumps -> 99.5%
Accuracy till 177 Stumps -> 99.5%
Accuracy till 178 Stumps -> 99.5%
Accuracy till 179 Stumps -> 99.5%
Accuracy till 180 Stumps -> 99.5%
Accuracy till 181 Stumps -> 99.5%
Accuracy till 182 Stumps -> 99.55%
Accuracy till 183 Stumps -> 99.5%
Accuracy till 184 Stumps -> 99.5%
Accuracy till 185 Stumps -> 99.5%
Accuracy till 186 Stumps -> 99.5%
Accuracy till 187 Stumps -> 99.5%
Accuracy till 188 Stumps -> 99.5%
Accuracy till 189 Stumps -> 99.45%
Accuracy till 190 Stumps -> 99.5%
Accuracy till 191 Stumps -> 99.5%
Accuracy till 192 Stumps -> 99.5%
Accuracy till 193 Stumps -> 99.5%
Accuracy till 194 Stumps -> 99.5%
Accuracy till 195 Stumps -> 99.5%
Accuracy till 196 Stumps -> 99.5%
Accuracy till 197 Stumps -> 99.5%
Accuracy till 198 Stumps -> 99.5%
Accuracy till 199 Stumps -> 99.5%
Accuracy till 200 Stumps -> 99.55%
Accuracy till 201 Stumps -> 99.45%
Accuracy till 202 Stumps -> 99.5%
Accuracy till 203 Stumps -> 99.5%
Accuracy till 204 Stumps -> 99.45%
Accuracy till 205 Stumps -> 99.45%
Accuracy till 206 Stumps -> 99.5%
Accuracy till 207 Stumps -> 99.45%
Accuracy till 208 Stumps -> 99.5%
Accuracy till 209 Stumps -> 99.45%
Accuracy till 210 Stumps -> 99.5%
Accuracy till 211 Stumps -> 99.45%
Accuracy till 212 Stumps -> 99.5%
Accuracy till 213 Stumps -> 99.45%
Accuracy till 214 Stumps -> 99.5%
Accuracy till 215 Stumps -> 99.45%
Accuracy till 216 Stumps -> 99.5%
Accuracy till 217 Stumps -> 99.45%
Accuracy till 218 Stumps -> 99.5%
Accuracy till 219 Stumps -> 99.45%
Accuracy till 220 Stumps -> 99.5%
Accuracy till 221 Stumps -> 99.45%
Accuracy till 222 Stumps -> 99.5%
Accuracy till 223 Stumps -> 99.45%
Accuracy till 224 Stumps -> 99.45%
Accuracy till 225 Stumps -> 99.45%
Accuracy till 226 Stumps -> 99.45%
Accuracy till 227 Stumps -> 99.45%
Accuracy till 228 Stumps -> 99.45%
Accuracy till 229 Stumps -> 99.45%
Accuracy till 230 Stumps -> 99.45%
Accuracy till 231 Stumps -> 99.45%
Accuracy till 232 Stumps -> 99.45%
Accuracy till 233 Stumps -> 99.45%
Accuracy till 234 Stumps -> 99.45%
Accuracy till 235 Stumps -> 99.45%
Accuracy till 236 Stumps -> 99.45%
Accuracy till 237 Stumps -> 99.45%
Accuracy till 238 Stumps -> 99.45%
Accuracy till 239 Stumps -> 99.45%
Accuracy till 240 Stumps -> 99.45%
Accuracy till 241 Stumps -> 99.45%
Accuracy till 242 Stumps -> 99.45%
Accuracy till 243 Stumps -> 99.45%
Accuracy till 244 Stumps -> 99.45%
Accuracy till 245 Stumps -> 99.45%
Accuracy till 246 Stumps -> 99.45%
Accuracy till 247 Stumps -> 99.45%
Accuracy till 248 Stumps -> 99.45%
Accuracy till 249 Stumps -> 99.45%
Accuracy till 250 Stumps -> 99.45%
Accuracy till 251 Stumps -> 99.45%
Accuracy till 252 Stumps -> 99.45%
Accuracy till 253 Stumps -> 99.45%
Accuracy till 254 Stumps -> 99.45%
Accuracy till 255 Stumps -> 99.45%
Accuracy till 256 Stumps -> 99.45%
Accuracy till 257 Stumps -> 99.45%
Accuracy till 258 Stumps -> 99.45%
Accuracy till 259 Stumps -> 99.45%
Accuracy till 260 Stumps -> 99.45%
Accuracy till 261 Stumps -> 99.45%
Accuracy till 262 Stumps -> 99.45%
Accuracy till 263 Stumps -> 99.45%
Accuracy till 264 Stumps -> 99.45%
Accuracy till 265 Stumps -> 99.45%
Accuracy till 266 Stumps -> 99.45%
Accuracy till 267 Stumps -> 99.45%
Accuracy till 268 Stumps -> 99.45%
Accuracy till 269 Stumps -> 99.45%
Accuracy till 270 Stumps -> 99.45%
Accuracy till 271 Stumps -> 99.45%
