MSE for Test Set -> 0.003777288833824793
MSE On Stump 233 -> 0.0048259135672014085
MSE On Stump 234 -> 0.004934702241429274
MSE On Stump 235 -> 0.004811378746690088
MSE On Stump 236 -> 0.004892719376716487
MSE On Stump 237 -> 0.004804793042336982
MSE On Stump 238 -> 0.004860067533607032
MSE On Stump 239 -> 0.00480554698508663
MSE On Stump 240 -> 0.004836832662719632
MSE On Stump 241 -> 0.004935113191711542
MSE On Stump 242 -> 0.00479454965122398
MSE On Stump 243 -> 0.004872184203250849
MSE On Stump 244 -> 0.0047465446949714035
MSE On Stump 245 -> 0.004829765896882446
MSE On Stump 246 -> 0.004921708507222025
MSE On Stump 247 -> 0.004788006326443356
MSE On Stump 248 -> 0.0048511539887612955
MSE On Stump 249 -> 0.0049441667336746235
MSE On Stump 250 -> 0.004841035206020308
MSE On Stump 251 -> 0.004905648854216421
MSE On Stump 252 -> 0.004838994360992007
MSE On Stump 253 -> 0.004873243674994609
MSE On Stump 254 -> 0.0048447055459952875
MSE On Stump 255 -> 0.004851757778761248
MSE On Stump 256 -> 0.004981047340457689
MSE On Stump 257 -> 0.00483745299913429
MSE On Stump 258 -> 0.0049391532138998665
MSE On Stump 259 -> 0.005050943204839853
MSE On Stump 260 -> 0.00511538014005632
MSE On Stump 261 -> 0.0050464009129589805
MSE On Stump 262 -> 0.005081409919203885
MSE On Stump 263 -> 0.005243549573786222
MSE On Stump 264 -> 0.005054901469629014
MSE On Stump 265 -> 0.005190487714778227
MSE On Stump 266 -> 0.005037120567709708
MSE On Stump 267 -> 0.005145196350972368
MSE On Stump 268 -> 0.005290129495869235
MSE On Stump 269 -> 0.0053655268001989945
MSE On Stump 270 -> 0.005295652902807933
MSE On Stump 271 -> 0.005328751050206028
MSE On Stump 272 -> 0.005493035398301306
MSE On Stump 273 -> 0.0052996000215591935
MSE On Stump 274 -> 0.005436861015899546
MSE On Stump 275 -> 0.005278953920803915
MSE On Stump 276 -> 0.005388684817650853
MSE On Stump 277 -> 0.005569098690257379
MSE On Stump 278 -> 0.005665075635941515
MSE On Stump 279 -> 0.005842265445872974
MSE On Stump 280 -> 0.005627881146423905
MSE On Stump 281 -> 0.00577817467532408
MSE On Stump 282 -> 0.005599628984612942
MSE On Stump 283 -> 0.005722720629187888
MSE On Stump 284 -> 0.005923223302664763
MSE On Stump 285 -> 0.005637265922747776
MSE On Stump 286 -> 0.005811515662921391
MSE On Stump 287 -> 0.005914869910340795
MSE On Stump 288 -> 0.005715509559457633
MSE On Stump 289 -> 0.00580145007664378
MSE On Stump 290 -> 0.005637601533073653
MSE On Stump 291 -> 0.005702523568785058
MSE On Stump 292 -> 0.00588671386921038
MSE On Stump 293 -> 0.005613963049803407
MSE On Stump 294 -> 0.005770232033094913
MSE On Stump 295 -> 0.005911832094444817
MSE On Stump 296 -> 0.005749916382919909
MSE On Stump 297 -> 0.0058564493409834955
MSE On Stump 298 -> 0.006046726638688891
MSE On Stump 299 -> 0.006215228988596472
MSE On Stump 300 -> 0.006379964865599902
